enrollment_id,student_id,class_id
ENR000001,1,1
ENR000002,2,1
ENR000003,3,1
ENR000004,4,1
ENR000005,5,1
ENR000006,7,1
ENR000007,8,1
ENR000008,9,1
ENR000009,10,1
ENR000010,11,1
ENR000011,12,1
ENR000012,13,1
ENR000013,14,1
ENR000014,15,1
ENR000015,16,1
ENR000016,17,1
ENR000017,18,1
ENR000018,19,1
ENR000019,20,1
ENR000020,21,1
ENR000021,22,1
ENR000022,23,1
ENR000023,24,1
ENR000024,25,1
ENR000025,26,1
ENR000026,27,1
ENR000027,28,1
ENR000028,29,1
ENR000029,31,1
ENR000030,32,1
ENR000031,33,1
ENR000032,34,1
ENR000033,35,1
ENR000034,36,1
ENR000035,37,1
ENR000036,38,1
ENR000037,39,1
ENR000038,638,1
ENR000039,1,2
ENR000040,2,2
ENR000041,3,2
ENR000042,4,2
ENR000043,5,2
ENR000044,7,2
ENR000045,8,2
ENR000046,9,2
ENR000047,10,2
ENR000048,11,2
ENR000049,12,2
ENR000050,13,2
ENR000051,14,2
ENR000052,15,2
ENR000053,16,2
ENR000054,17,2
ENR000055,18,2
ENR000056,19,2
ENR000057,20,2
ENR000058,21,2
ENR000059,22,2
ENR000060,23,2
ENR000061,24,2
ENR000062,25,2
ENR000063,26,2
ENR000064,27,2
ENR000065,28,2
ENR000066,29,2
ENR000067,31,2
ENR000068,32,2
ENR000069,33,2
ENR000070,34,2
ENR000071,35,2
ENR000072,36,2
ENR000073,37,2
ENR000074,38,2
ENR000075,39,2
ENR000076,638,2
ENR000077,1,3
ENR000078,2,3
ENR000079,3,3
ENR000080,4,3
ENR000081,5,3
ENR000082,7,3
ENR000083,8,3
ENR000084,9,3
ENR000085,10,3
ENR000086,11,3
ENR000087,12,3
ENR000088,13,3
ENR000089,14,3
ENR000090,15,3
ENR000091,16,3
ENR000092,17,3
ENR000093,18,3
ENR000094,19,3
ENR000095,20,3
ENR000096,21,3
ENR000097,22,3
ENR000098,23,3
ENR000099,24,3
ENR000100,25,3
ENR000101,26,3
ENR000102,27,3
ENR000103,28,3
ENR000104,29,3
ENR000105,31,3
ENR000106,32,3
ENR000107,33,3
ENR000108,34,3
ENR000109,35,3
ENR000110,36,3
ENR000111,37,3
ENR000112,38,3
ENR000113,39,3
ENR000114,638,3
ENR000115,1,4
ENR000116,2,4
ENR000117,3,4
ENR000118,4,4
ENR000119,5,4
ENR000120,7,4
ENR000121,8,4
ENR000122,9,4
ENR000123,10,4
ENR000124,11,4
ENR000125,12,4
ENR000126,13,4
ENR000127,14,4
ENR000128,15,4
ENR000129,16,4
ENR000130,17,4
ENR000131,18,4
ENR000132,19,4
ENR000133,20,4
ENR000134,21,4
ENR000135,22,4
ENR000136,23,4
ENR000137,24,4
ENR000138,25,4
ENR000139,26,4
ENR000140,27,4
ENR000141,28,4
ENR000142,29,4
ENR000143,31,4
ENR000144,32,4
ENR000145,33,4
ENR000146,34,4
ENR000147,35,4
ENR000148,36,4
ENR000149,37,4
ENR000150,38,4
ENR000151,39,4
ENR000152,638,4
ENR000153,1,5
ENR000154,2,5
ENR000155,3,5
ENR000156,4,5
ENR000157,5,5
ENR000158,7,5
ENR000159,8,5
ENR000160,9,5
ENR000161,10,5
ENR000162,11,5
ENR000163,12,5
ENR000164,13,5
ENR000165,14,5
ENR000166,15,5
ENR000167,16,5
ENR000168,17,5
ENR000169,18,5
ENR000170,19,5
ENR000171,20,5
ENR000172,21,5
ENR000173,22,5
ENR000174,23,5
ENR000175,24,5
ENR000176,25,5
ENR000177,26,5
ENR000178,27,5
ENR000179,28,5
ENR000180,29,5
ENR000181,31,5
ENR000182,32,5
ENR000183,33,5
ENR000184,34,5
ENR000185,35,5
ENR000186,36,5
ENR000187,37,5
ENR000188,38,5
ENR000189,39,5
ENR000190,638,5
ENR000191,40,6
ENR000192,41,6
ENR000193,43,6
ENR000194,44,6
ENR000195,45,6
ENR000196,46,6
ENR000197,47,6
ENR000198,48,6
ENR000199,49,6
ENR000200,50,6
ENR000201,51,6
ENR000202,52,6
ENR000203,53,6
ENR000204,54,6
ENR000205,55,6
ENR000206,56,6
ENR000207,57,6
ENR000208,58,6
ENR000209,59,6
ENR000210,60,6
ENR000211,61,6
ENR000212,62,6
ENR000213,63,6
ENR000214,64,6
ENR000215,65,6
ENR000216,66,6
ENR000217,67,6
ENR000218,68,6
ENR000219,69,6
ENR000220,70,6
ENR000221,71,6
ENR000222,72,6
ENR000223,73,6
ENR000224,74,6
ENR000225,75,6
ENR000226,76,6
ENR000227,77,6
ENR000228,78,6
ENR000229,543,6
ENR000230,40,7
ENR000231,41,7
ENR000232,43,7
ENR000233,44,7
ENR000234,45,7
ENR000235,46,7
ENR000236,47,7
ENR000237,48,7
ENR000238,49,7
ENR000239,50,7
ENR000240,51,7
ENR000241,52,7
ENR000242,53,7
ENR000243,54,7
ENR000244,55,7
ENR000245,56,7
ENR000246,57,7
ENR000247,58,7
ENR000248,59,7
ENR000249,60,7
ENR000250,61,7
ENR000251,62,7
ENR000252,63,7
ENR000253,64,7
ENR000254,65,7
ENR000255,66,7
ENR000256,67,7
ENR000257,68,7
ENR000258,69,7
ENR000259,70,7
ENR000260,71,7
ENR000261,72,7
ENR000262,73,7
ENR000263,74,7
ENR000264,75,7
ENR000265,76,7
ENR000266,77,7
ENR000267,78,7
ENR000268,543,7
ENR000269,40,8
ENR000270,41,8
ENR000271,43,8
ENR000272,44,8
ENR000273,45,8
ENR000274,46,8
ENR000275,47,8
ENR000276,48,8
ENR000277,49,8
ENR000278,50,8
ENR000279,51,8
ENR000280,52,8
ENR000281,53,8
ENR000282,54,8
ENR000283,55,8
ENR000284,56,8
ENR000285,57,8
ENR000286,58,8
ENR000287,59,8
ENR000288,60,8
ENR000289,61,8
ENR000290,62,8
ENR000291,63,8
ENR000292,64,8
ENR000293,65,8
ENR000294,66,8
ENR000295,67,8
ENR000296,68,8
ENR000297,69,8
ENR000298,70,8
ENR000299,71,8
ENR000300,72,8
ENR000301,73,8
ENR000302,74,8
ENR000303,75,8
ENR000304,76,8
ENR000305,77,8
ENR000306,78,8
ENR000307,543,8
ENR000308,40,9
ENR000309,41,9
ENR000310,43,9
ENR000311,44,9
ENR000312,45,9
ENR000313,46,9
ENR000314,47,9
ENR000315,48,9
ENR000316,49,9
ENR000317,50,9
ENR000318,51,9
ENR000319,52,9
ENR000320,53,9
ENR000321,54,9
ENR000322,55,9
ENR000323,56,9
ENR000324,57,9
ENR000325,58,9
ENR000326,59,9
ENR000327,60,9
ENR000328,61,9
ENR000329,62,9
ENR000330,63,9
ENR000331,64,9
ENR000332,65,9
ENR000333,66,9
ENR000334,67,9
ENR000335,68,9
ENR000336,69,9
ENR000337,70,9
ENR000338,71,9
ENR000339,72,9
ENR000340,73,9
ENR000341,74,9
ENR000342,75,9
ENR000343,76,9
ENR000344,77,9
ENR000345,78,9
ENR000346,543,9
ENR000347,40,10
ENR000348,41,10
ENR000349,43,10
ENR000350,44,10
ENR000351,45,10
ENR000352,46,10
ENR000353,47,10
ENR000354,48,10
ENR000355,49,10
ENR000356,50,10
ENR000357,51,10
ENR000358,52,10
ENR000359,53,10
ENR000360,54,10
ENR000361,55,10
ENR000362,56,10
ENR000363,57,10
ENR000364,58,10
ENR000365,59,10
ENR000366,60,10
ENR000367,61,10
ENR000368,62,10
ENR000369,63,10
ENR000370,64,10
ENR000371,65,10
ENR000372,66,10
ENR000373,67,10
ENR000374,68,10
ENR000375,69,10
ENR000376,70,10
ENR000377,71,10
ENR000378,72,10
ENR000379,73,10
ENR000380,74,10
ENR000381,75,10
ENR000382,76,10
ENR000383,77,10
ENR000384,78,10
ENR000385,543,10
ENR000386,79,11
ENR000387,80,11
ENR000388,82,11
ENR000389,83,11
ENR000390,84,11
ENR000391,85,11
ENR000392,86,11
ENR000393,87,11
ENR000394,88,11
ENR000395,89,11
ENR000396,90,11
ENR000397,91,11
ENR000398,92,11
ENR000399,93,11
ENR000400,94,11
ENR000401,95,11
ENR000402,96,11
ENR000403,97,11
ENR000404,98,11
ENR000405,99,11
ENR000406,100,11
ENR000407,101,11
ENR000408,102,11
ENR000409,103,11
ENR000410,104,11
ENR000411,105,11
ENR000412,106,11
ENR000413,108,11
ENR000414,109,11
ENR000415,110,11
ENR000416,112,11
ENR000417,113,11
ENR000418,114,11
ENR000419,115,11
ENR000420,116,11
ENR000421,117,11
ENR000422,641,11
ENR000423,690,11
ENR000424,692,11
ENR000425,79,12
ENR000426,80,12
ENR000427,82,12
ENR000428,83,12
ENR000429,84,12
ENR000430,85,12
ENR000431,86,12
ENR000432,87,12
ENR000433,88,12
ENR000434,89,12
ENR000435,90,12
ENR000436,91,12
ENR000437,92,12
ENR000438,93,12
ENR000439,94,12
ENR000440,95,12
ENR000441,96,12
ENR000442,97,12
ENR000443,98,12
ENR000444,99,12
ENR000445,100,12
ENR000446,101,12
ENR000447,102,12
ENR000448,103,12
ENR000449,104,12
ENR000450,105,12
ENR000451,106,12
ENR000452,108,12
ENR000453,109,12
ENR000454,110,12
ENR000455,112,12
ENR000456,113,12
ENR000457,114,12
ENR000458,115,12
ENR000459,116,12
ENR000460,117,12
ENR000461,641,12
ENR000462,690,12
ENR000463,692,12
ENR000464,79,13
ENR000465,80,13
ENR000466,82,13
ENR000467,83,13
ENR000468,84,13
ENR000469,85,13
ENR000470,86,13
ENR000471,87,13
ENR000472,88,13
ENR000473,89,13
ENR000474,90,13
ENR000475,91,13
ENR000476,92,13
ENR000477,93,13
ENR000478,94,13
ENR000479,95,13
ENR000480,96,13
ENR000481,97,13
ENR000482,98,13
ENR000483,99,13
ENR000484,100,13
ENR000485,101,13
